@RELATION fazer_acordo

@ATTRIBUTE faixa_idade {"Ate 18","Entre 18 e 24","Entre 24 e 35","Entre 35 e 45","Entre 45 e 60","Idade Nao Informada","Maior que 60"}
@ATTRIBUTE sexo {F,M,NULL}
@ATTRIBUTE faixa_divida {"ATE 100","ENTRE 100 E 500","ENTRE 1000 E 2000","ENTRE 2000 E 5000","ENTRE 500 E 1000","MAIOR QUE 5000"}
@ATTRIBUTE faixa_atraso {"> 7 Anos","Ate 180 Dias","Entre 1 e 3 Anos","Entre 180 dias e 1 Ano","Entre 4 e 5 Anos","Entre 5 e 7 Anos"}
@ATTRIBUTE credor {"Santander Financiamentos",CARSYSTEM,Claro,Credigy,NET,Santander,Santinvest,Tricard}
@ATTRIBUTE fez_acordo {SIM,NAO}

@DATA
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 35 e 45",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Maior que 60",F,"ATE 100","Ate 180 Dias",NET,NAO
"Maior que 60",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Maior que 60",F,"ATE 100","Ate 180 Dias",NET,NAO
"Maior que 60",F,"ENTRE 100 E 500","> 7 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 35 e 45",F,"ATE 100","Entre 180 dias e 1 Ano",NET,SIM
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ENTRE 1000 E 2000","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Maior que 60",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Maior que 60",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","> 7 Anos",NET,NAO
"Entre 35 e 45",M,"ENTRE 1000 E 2000","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,SIM
"Entre 45 e 60",F,"ATE 100","Entre 4 e 5 Anos",NET,NAO
"Entre 45 e 60",F,"ENTRE 1000 E 2000","Ate 180 Dias",NET,SIM
"Entre 45 e 60",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","> 7 Anos",NET,NAO
"Entre 35 e 45",M,"ENTRE 1000 E 2000","Ate 180 Dias",NET,SIM
"Entre 35 e 45",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 35 e 45",M,"ENTRE 100 E 500","> 7 Anos",NET,NAO
"Entre 35 e 45",M,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 35 e 45",M,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 35 e 45",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ATE 100","> 7 Anos",NET,NAO
"Entre 35 e 45",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","> 7 Anos",NET,NAO
"Entre 35 e 45",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 35 e 45",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 35 e 45",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 1000 E 2000","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 500 E 1000","Entre 5 e 7 Anos",NET,NAO
"Entre 35 e 45",M,"ATE 100","Entre 1 e 3 Anos",NET,SIM
"Entre 35 e 45",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ENTRE 100 E 500","Entre 4 e 5 Anos",NET,NAO
"Entre 35 e 45",M,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",M,"ATE 100","Entre 1 e 3 Anos",NET,SIM
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 35 e 45",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 35 e 45",F,"ENTRE 500 E 1000","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 35 e 45",F,"ENTRE 500 E 1000","Entre 180 dias e 1 Ano",NET,SIM
"Entre 45 e 60",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 35 e 45",M,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 35 e 45",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",M,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ENTRE 500 E 1000","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 1000 E 2000","Entre 5 e 7 Anos",NET,NAO
"Entre 45 e 60",F,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,SIM
"Entre 24 e 35",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 35 e 45",M,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 35 e 45",M,"ATE 100","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 4 e 5 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Maior que 60",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 45 e 60",M,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,SIM
"Entre 24 e 35",M,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ENTRE 1000 E 2000","Entre 180 dias e 1 Ano",NET,NAO
"Entre 35 e 45",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 1000 E 2000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 4 e 5 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 4 e 5 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 45 e 60",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 24 e 35",M,"ENTRE 500 E 1000","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","> 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",M,"ENTRE 500 E 1000","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Maior que 60",M,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 500 E 1000","Ate 180 Dias",NET,NAO
"Entre 45 e 60",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 45 e 60",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,SIM
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 500 E 1000","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 5 e 7 Anos",NET,SIM
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","> 7 Anos",NET,SIM
"Entre 24 e 35",F,"ENTRE 500 E 1000","> 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 1000 E 2000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 1000 E 2000","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,SIM
"Entre 24 e 35",F,"ATE 100","> 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 45 e 60",M,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",M,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 500 E 1000","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ATE 100","> 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 500 E 1000","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 500 E 1000","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 5 e 7 Anos",NET,NAO
"Entre 18 e 24",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",F,"ENTRE 500 E 1000","Entre 4 e 5 Anos",NET,NAO
"Entre 45 e 60",F,"ATE 100","Entre 1 e 3 Anos",NET,SIM
"Entre 45 e 60",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 18 e 24",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 24 e 35",M,"ATE 100","Entre 5 e 7 Anos",NET,SIM
"Entre 45 e 60",F,"ENTRE 500 E 1000","> 7 Anos",NET,NAO
"Entre 18 e 24",M,"ENTRE 500 E 1000","Entre 4 e 5 Anos",NET,SIM
"Entre 18 e 24",M,"ENTRE 500 E 1000","Entre 4 e 5 Anos",NET,SIM
"Entre 18 e 24",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 5 e 7 Anos",NET,NAO
"Entre 24 e 35",M,"ATE 100","Entre 5 e 7 Anos",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ENTRE 500 E 1000","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",M,"ENTRE 100 E 500","Entre 4 e 5 Anos",NET,NAO
"Entre 18 e 24",M,"ENTRE 500 E 1000","Entre 4 e 5 Anos",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 18 e 24",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",M,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,SIM
"Maior que 60",M,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Maior que 60",M,"ATE 100","Ate 180 Dias",NET,SIM
"Maior que 60",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ENTRE 500 E 1000","Entre 180 dias e 1 Ano",NET,SIM
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",F,"ENTRE 100 E 500","Entre 4 e 5 Anos",NET,NAO
"Entre 45 e 60",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ATE 100","Entre 180 dias e 1 Ano",NET,SIM
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 24 e 35",F,"ENTRE 500 E 1000","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 18 e 24",M,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",M,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 18 e 24",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",M,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 45 e 60",M,"ENTRE 500 E 1000","Ate 180 Dias",NET,NAO
"Entre 45 e 60",M,"ATE 100","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ENTRE 1000 E 2000","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,SIM
"Entre 18 e 24",F,"ENTRE 500 E 1000","Entre 1 e 3 Anos",NET,SIM
"Entre 18 e 24",F,"ATE 100","Entre 180 dias e 1 Ano",NET,SIM
"Entre 18 e 24",F,"ENTRE 1000 E 2000","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ENTRE 500 E 1000","Ate 180 Dias",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Ate 180 Dias",NET,SIM
"Entre 45 e 60",F,"ENTRE 100 E 500","> 7 Anos",NET,NAO
"Entre 45 e 60",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 45 e 60",F,"ATE 100","Ate 180 Dias",NET,SIM
"Entre 24 e 35",F,"ENTRE 100 E 500","Entre 1 e 3 Anos",NET,SIM
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,SIM
"Maior que 60",F,"ENTRE 100 E 500","> 7 Anos",NET,SIM
"Maior que 60",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 45 e 60",F,"ENTRE 100 E 500","> 7 Anos",NET,NAO
"Entre 45 e 60",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 45 e 60",F,"ATE 100","Entre 180 dias e 1 Ano",NET,NAO
"Entre 45 e 60",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 24 e 35",F,"ENTRE 100 E 500","Ate 180 Dias",NET,NAO
"Entre 24 e 35",F,"ATE 100","Entre 1 e 3 Anos",NET,NAO
"Entre 45 e 60",F,"ATE 100","Ate 180 Dias",NET,NAO
"Maior que 60",M,"ATE 100","Entre 5 e 7 Anos",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
"Entre 18 e 24",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,SIM
"Entre 35 e 45",F,"ENTRE 500 E 1000","Ate 180 Dias",NET,NAO
"Entre 35 e 45",F,"ENTRE 100 E 500","Entre 180 dias e 1 Ano",NET,NAO
